优化修改清单
1. 积分核心表结构接入(tb_user_info/tb_user_address/tb_integral_rule/tb_integral_flow) | 状态: 已完成 | 备注: 已同步到项目SQL与docker初始化SQL
2. 积分规则配置与开关管理(注册/首充/签到/推荐/红包) | 状态: 已完成 | 备注: 后端实体/服务/接口及前端页面已完成
3. 账户创建流程(一级/二级经销商/终端客户)与短信验证 | 状态: 已完成 | 备注: C端(AppMemberApi)与B端(SysRegisterService)注册接口及SMS验证已实现
4. 会员码与扫码赠送积分流程 | 状态: 已完成 | 备注: 会员码C端展示、商家端(小程序)扫码识别与赠送积分功能已上线
5. 积分分发与赠送业务链路(管理端/商家端) | 状态: 已完成 | 备注: 商家端独立登录与工作台已实现，支持扫码赠送与核销
6. 积分红包功能(客户端互赠) | 状态: 已完成 | 备注: 后端接口(验证/扣减/记录)与小程序前端发送页面已上线
7. 每日签到与推荐注册积分发放 | 状态: 已完成 | 备注: 后端接口与小程序前端已实现
8. 商品类型扩展(实体/虚拟/商品券)与兑换流程 | 状态: 已完成 | 备注: GoodsSpu已扩展类型与积分价格字段
9. 商品券生成、展示与核销流程 | 状态: 已完成 | 备注: 购买自动生成、C端展示、商家扫码核销API、管理端视图均已完成
10. 订单发货、物流查询与确认收货 | 状态: 已完成 | 备注: 后端API已实现，小程序端已增加确认收货与物流信息查看页面
11. 抽奖配置与抽奖记录链路 | 状态: 已完成 | 备注: 全链路完成（后端实体/服务/API、管理端配置页、小程序抽奖页）
12. 消息推送与统计视图(积分/订单/核销/用户) | 状态: 已完成 | 备注: 管理端统计视图API已上线，消息推送需配置模板ID后开启
