mysql> SELECT    TABLE_NAME 表名,   COLUMN_NAME 列名,   DATA_TYPE   字段类型 FROM    information_schema.COLUMNS  WHERE    TABLE_SCHEMA = 'dingyangmall_ry'   ORDER BY    TABLE_NAME, ORDINAL_POSITION;
+--------------------------+-------------------------+--------------+
| 表名                     | 列名                    | 字段类型     |
+--------------------------+-------------------------+--------------+
| gen_table                | table_id                | bigint       |
| gen_table                | table_name              | varchar      |
| gen_table                | table_comment           | varchar      |
| gen_table                | sub_table_name          | varchar      |
| gen_table                | sub_table_fk_name       | varchar      |
| gen_table                | class_name              | varchar      |
| gen_table                | tpl_category            | varchar      |
| gen_table                | tpl_web_type            | varchar      |
| gen_table                | package_name            | varchar      |
| gen_table                | module_name             | varchar      |
| gen_table                | business_name           | varchar      |
| gen_table                | function_name           | varchar      |
| gen_table                | function_author         | varchar      |
| gen_table                | gen_type                | char         |
| gen_table                | gen_path                | varchar      |
| gen_table                | options                 | varchar      |
| gen_table                | create_by               | varchar      |
| gen_table                | create_time             | datetime     |
| gen_table                | update_by               | varchar      |
| gen_table                | update_time             | datetime     |
| gen_table                | remark                  | varchar      |
| gen_table_column         | column_id               | bigint       |
| gen_table_column         | table_id                | bigint       |
| gen_table_column         | column_name             | varchar      |
| gen_table_column         | column_comment          | varchar      |
| gen_table_column         | column_type             | varchar      |
| gen_table_column         | java_type               | varchar      |
| gen_table_column         | java_field              | varchar      |
| gen_table_column         | is_pk                   | char         |
| gen_table_column         | is_increment            | char         |
| gen_table_column         | is_required             | char         |
| gen_table_column         | is_insert               | char         |
| gen_table_column         | is_edit                 | char         |
| gen_table_column         | is_list                 | char         |
| gen_table_column         | is_query                | char         |
| gen_table_column         | query_type              | varchar      |
| gen_table_column         | html_type               | varchar      |
| gen_table_column         | dict_type               | varchar      |
| gen_table_column         | sort                    | int          |
| gen_table_column         | create_by               | varchar      |
| gen_table_column         | create_time             | datetime     |
| gen_table_column         | update_by               | varchar      |
| gen_table_column         | update_time             | datetime     |
| goods_category           | id                      | varchar      |
| goods_category           | enable                  | char         |
| goods_category           | parent_id               | varchar      |
| goods_category           | name                    | varchar      |
| goods_category           | description             | varchar      |
| goods_category           | pic_url                 | varchar      |
| goods_category           | sort                    | smallint     |
| goods_category           | create_time             | datetime     |
| goods_category           | update_time             | datetime     |
| goods_category           | del_flag                | char         |
| goods_spu                | id                      | varchar      |
| goods_spu                | spu_code                | varchar      |
| goods_spu                | name                    | varchar      |
| goods_spu                | sell_point              | varchar      |
| goods_spu                | description             | text         |
| goods_spu                | category_first          | varchar      |
| goods_spu                | category_second         | varchar      |
| goods_spu                | pic_urls                | varchar      |
| goods_spu                | shelf                   | char         |
| goods_spu                | sort                    | int          |
| goods_spu                | sales_price             | decimal      |
| goods_spu                | market_price            | decimal      |
| goods_spu                | cost_price              | decimal      |
| goods_spu                | stock                   | int          |
| goods_spu                | sale_num                | int          |
| goods_spu                | goods_type              | varchar      |
| goods_spu                | integral_price          | decimal      |
| goods_spu                | version                 | int          |
| goods_spu                | create_time             | datetime     |
| goods_spu                | update_time             | datetime     |
| goods_spu                | del_flag                | char         |
| order_info               | id                      | varchar      |
| order_info               | del_flag                | char         |
| order_info               | create_time             | datetime     |
| order_info               | update_time             | timestamp    |
| order_info               | user_id                 | varchar      |
| order_info               | distributor_id          | bigint       |
| order_info               | distributor_level       | int          |
| order_info               | order_no                | varchar      |
| order_info               | payment_way             | char         |
| order_info               | is_pay                  | char         |
| order_info               | name                    | varchar      |
| order_info               | status                  | char         |
| order_info               | freight_price           | decimal      |
| order_info               | sales_price             | decimal      |
| order_info               | payment_price           | decimal      |
| order_info               | payment_time            | datetime     |
| order_info               | delivery_time           | datetime     |
| order_info               | receiver_time           | datetime     |
| order_info               | closing_time            | datetime     |
| order_info               | user_message            | varchar      |
| order_info               | transaction_id          | varchar      |
| order_info               | logistics_id            | varchar      |
| order_info               | remark                  | varchar      |
| order_item               | id                      | varchar      |
| order_item               | del_flag                | char         |
| order_item               | create_time             | datetime     |
| order_item               | update_time             | timestamp    |
| order_item               | order_id                | varchar      |
| order_item               | spu_id                  | varchar      |
| order_item               | spu_name                | varchar      |
| order_item               | pic_url                 | varchar      |
| order_item               | quantity                | int          |
| order_item               | sales_price             | decimal      |
| order_item               | freight_price           | decimal      |
| order_item               | payment_price           | decimal      |
| order_item               | remark                  | varchar      |
| order_item               | status                  | char         |
| order_item               | is_refund               | char         |
| order_logistics          | id                      | varchar      |
| order_logistics          | del_flag                | char         |
| order_logistics          | create_time             | datetime     |
| order_logistics          | update_time             | timestamp    |
| order_logistics          | postal_code             | varchar      |
| order_logistics          | user_name               | varchar      |
| order_logistics          | tel_num                 | varchar      |
| order_logistics          | address                 | varchar      |
| order_logistics          | logistics               | char         |
| order_logistics          | logistics_no            | varchar      |
| order_logistics          | status                  | char         |
| order_logistics          | is_check                | char         |
| order_logistics          | message                 | varchar      |
| qrtz_blob_triggers       | sched_name              | varchar      |
| qrtz_blob_triggers       | trigger_name            | varchar      |
| qrtz_blob_triggers       | trigger_group           | varchar      |
| qrtz_blob_triggers       | blob_data               | blob         |
| qrtz_calendars           | sched_name              | varchar      |
| qrtz_calendars           | calendar_name           | varchar      |
| qrtz_calendars           | calendar                | blob         |
| qrtz_cron_triggers       | sched_name              | varchar      |
| qrtz_cron_triggers       | trigger_name            | varchar      |
| qrtz_cron_triggers       | trigger_group           | varchar      |
| qrtz_cron_triggers       | cron_expression         | varchar      |
| qrtz_cron_triggers       | time_zone_id            | varchar      |
| qrtz_fired_triggers      | sched_name              | varchar      |
| qrtz_fired_triggers      | entry_id                | varchar      |
| qrtz_fired_triggers      | trigger_name            | varchar      |
| qrtz_fired_triggers      | trigger_group           | varchar      |
| qrtz_fired_triggers      | instance_name           | varchar      |
| qrtz_fired_triggers      | fired_time              | bigint       |
| qrtz_fired_triggers      | sched_time              | bigint       |
| qrtz_fired_triggers      | priority                | int          |
| qrtz_fired_triggers      | state                   | varchar      |
| qrtz_fired_triggers      | job_name                | varchar      |
| qrtz_fired_triggers      | job_group               | varchar      |
| qrtz_fired_triggers      | is_nonconcurrent        | varchar      |
| qrtz_fired_triggers      | requests_recovery       | varchar      |
| qrtz_job_details         | sched_name              | varchar      |
| qrtz_job_details         | job_name                | varchar      |
| qrtz_job_details         | job_group               | varchar      |
| qrtz_job_details         | description             | varchar      |
| qrtz_job_details         | job_class_name          | varchar      |
| qrtz_job_details         | is_durable              | varchar      |
| qrtz_job_details         | is_nonconcurrent        | varchar      |
| qrtz_job_details         | is_update_data          | varchar      |
| qrtz_job_details         | requests_recovery       | varchar      |
| qrtz_job_details         | job_data                | blob         |
| qrtz_locks               | sched_name              | varchar      |
| qrtz_locks               | lock_name               | varchar      |
| qrtz_paused_trigger_grps | sched_name              | varchar      |
| qrtz_paused_trigger_grps | trigger_group           | varchar      |
